Country,year,emissions,income_group
KWT,2015,2912.5527340634026,High income
KWT,2018,2879.261686306231,High income
LBN,1990,2735.127266179936,Middle income
LBN,1995,2869.463439390642,Middle income
LBN,2000,3817.832639628443,Middle income
LBN,2005,3763.28145625907,Middle income
LBN,2010,3821.210913227046,Middle income
LBN,2015,2933.0658225885013,Middle income
LBN,2018,2792.463982417036,Middle income
LBR,1990,2060.787506425419,Low income
LBR,1995,1947.9945370929977,Low income
LBR,2000,2001.86805031382,Low income
LBR,2005,1838.5832586492616,Low income
LBR,2010,2032.902964479672,Low income
LBR,2015,2223.67510185056,Low income
LBR,2018,2171.3721791903254,Low income
MAR,1990,1781.2141756982323,Middle income
MAR,1995,1427.3490828950105,Middle income
MAR,2000,1706.5054364451123,Middle income
MAR,2005,1739.7423336338757,Middle income
MAR,2010,2180.097276575236,Middle income
MAR,2015,2587.123479899823,Middle income
MAR,2018,2787.2814755724003,Middle income
OMN,1990,1958.7058658638737,High income
OMN,1995,2238.1585210254607,High income
OMN,2000,2394.8597680259704,High income
OMN,2005,2813.6363494262832,High income
OMN,2010,3483.8003314338025,High income
OMN,2015,3148.1560273442224,High income
OMN,2018,2902.298125803717,High income
PAK,1990,1495.3420241011806,Middle income
PAK,1995,1649.6106289134489,Middle income
PAK,2000,1439.842581030514,Middle income
PAK,2005,1402.9787649533137,Middle income
PAK,2010,1612.2903922737944,Middle income
PAK,2015,1561.0327705740783,Middle income
PAK,2018,1605.1138396156591,Middle income
PSE,1990,2307.5030546839694,Middle income
PSE,1995,2489.1814616620554,Middle income
PSE,2000,2570.453227131193,Middle income
PSE,2005,2661.7246749745964,Middle income
PSE,2010,2852.152217936758,Middle income
PSE,2015,2922.571234569538,Middle income
PSE,2018,2832.8871413973784,Middle income
QAT,1990,2489.074104389176,High income
QAT,1995,2750.57037376216,High income
QAT,2000,2808.0217596811963,High income
QAT,2005,2916.2453933133056,High income
QAT,2010,2966.8206410342946,High income
QAT,2015,3017.1656125163977,High income
QAT,2018,2919.115327896317,High income
SAU,1990,2704.4877495115825,High income
SAU,1995,2872.360821015314,High income
SAU,2000,3147.875196157868,High income
SAU,2005,3117.7276516883626,High income
SAU,2010,3696.093953808782,High income
SAU,2015,3708.589337811636,High income
SAU,2018,3334.823653229045,High income
SDN,1990,1392.0612078478557,Low income
SDN,1995,1346.7384848649638,Low income
SDN,2000,1380.7997562706323,Low income
SDN,2005,1460.7200296967285,Low income
SDN,2010,1548.2773956371927,Low income
SDN,2015,1527.3483572536188,Low income
SDN,2018,1532.4883883414664,Low income
SYR,1990,2217.5777362794443,Low income
SYR,1995,2467.724770641416,Low income
SYR,2000,2537.1116644129443,Low income
SYR,2005,2640.733684117324,Low income
SYR,2010,2720.665672542154,Low income
SYR,2015,2809.596469847504,Low income
SYR,2018,2718.035465346621,Low income
TUN,1990,1587.7375856331491,Middle income
TUN,1995,1686.514414873061,Middle income
TUN,2000,1805.42188538295,Middle income
TUN,2005,1824.2000407388464,Middle income
TUN,2010,1898.307054009069,Middle income
TUN,2015,1871.2857302039013,Middle income
TUN,2018,1830.748931120308,Middle income
YEM,1990,1166.6994676712677,Low income
YEM,1995,941.7447791751964,Low income
YEM,2000,1144.60086742065,Low income
YEM,2005,1445.8826147942866,Low income
YEM,2010,1425.5248970720445,Low income
YEM,2015,1633.34880437623,Low income
YEM,2018,1548.6144913915275,Low income
EMR,1990,2002.098922694565,
EMR,1995,1984.3548829396416,
EMR,2000,2247.858586360231,
EMR,2005,2376.124879061854,
EMR,2010,2524.249610717899,
EMR,2015,2489.565094804661,
EMR,2018,2355.2270298790368,
AFG,2020,144.4446732179727,Low income
ARE,2020,503.7022838103218,High income
BHR,2020,680.4340274359505,High income
DJI,2020,370.8618745796604,Middle income
EGY,2020,496.9689250108687,Middle income
IRN,2020,287.5943074539492,Middle income
IRQ,2020,969.0056374290964,Middle income
JOR,2020,920.1147381555056,Middle income
KWT,2020,437.4410265070055,High income
LBN,2020,474.71225563018857,Middle income
LBR,2020,440.11667487531,Low income
MAR,2020,478.4143905107293,Middle income
OMN,2020,768.7246686460421,High income
PAK,2020,463.7897398856747,Middle income
PSE,2020,682.4337956877814,Middle income
QAT,2020,643.2174523218744,High income
SAU,2020,619.5186841878295,High income
SDN,2020,282.73874409143025,Low income
SYR,2020,649.5421303165646,Low income
TUN,2020,655.3661408130127,Middle income
YEM,2020,358.6651561210667,Low income
EMR,2020,496.9689250108687,
