index,iso3,year,median,emissions,income_group
40,IRN,2015,4.92341143287605,3.2002174313694325,Middle income
41,IRN,2018,4.94782758640414,3.216087931162691,Middle income
43,IRQ,1995,27.9122522937716,18.142963990951543,Middle income
44,IRQ,2000,30.6306851410647,19.90994534169205,Middle income
45,IRQ,2005,34.8647487549569,22.66208669072198,Middle income
46,IRQ,2010,31.6460234577618,20.56991524754517,Middle income
47,IRQ,2015,28.1842710524441,18.319776184088663,Middle income
48,IRQ,2018,27.5881042216254,17.93226774405651,Middle income
49,JOR,1990,34.1397188879583,22.190817277172897,Middle income
50,JOR,1995,35.8085208106143,23.27553852689929,Middle income
51,JOR,2000,39.2035974787978,25.482338361218574,Middle income
52,JOR,2005,39.3303306273456,25.564714907774643,Middle income
53,JOR,2010,40.7652871070071,26.49743661955461,Middle income
54,JOR,2015,36.7800056714058,23.907003686413773,Middle income
55,JOR,2018,37.9326177823234,24.656201558510208,Middle income
56,KWT,1990,32.5340658277,21.147142788005,High income
57,KWT,1995,26.5516261749927,17.258557013745254,High income
58,KWT,2000,26.5690118404808,17.26985769631252,High income
59,KWT,2005,30.4865472947298,19.81625574157437,High income
60,KWT,2010,29.8885374382684,19.42754933487446,High income
61,KWT,2015,26.848991694539,17.45184460145035,High income
62,KWT,2018,28.1662904421889,18.308088787422783,High income
63,LBN,1990,12.9173874362856,8.396301833585639,Middle income
64,LBN,1995,13.7520666949074,8.93884335168981,Middle income
65,LBN,2000,15.4268287903684,10.02743871373946,Middle income
66,LBN,2005,16.8472668024305,10.950723421579823,Middle income
67,LBN,2010,19.7289719106718,12.82383174193667,Middle income
68,LBN,2015,16.7357299360625,10.878224458440627,Middle income
69,LBN,2018,17.0564152843121,11.086669934802863,Middle income
70,LBR,1990,18.2316453452175,11.850569474391376,Low income
71,LBR,1995,16.3445164284671,10.623935678503614,Low income
72,LBR,2000,17.3669335547806,11.288506810607393,Low income
73,LBR,2005,18.8365666125369,12.243768298148984,Low income
74,LBR,2010,20.3063330802956,13.199116502192142,Low income
75,LBR,2015,18.249600480127,11.862240312082552,Low income
76,LBR,2018,18.6762225432179,12.139544653091637,Low income
77,MAR,1990,26.1483705559809,16.996440861387587,Middle income
