iso3,female,year,median,score
PSE,1,2000,30.0331761097149,1
PSE,1,2005,12.872645742857763,1
PSE,1,2010,41.574570855221,1
PSE,1,2015,72.5575138206943,1
PSE,1,2018,54.4901654419686,1
QAT,1,1990,59.158771382038395,1
QAT,1,1995,120.95841354219311,1
QAT,1,2000,101.3871862296949,1
QAT,1,2005,21.44655758159439,1
QAT,1,2010,52.527302473621404,1
QAT,1,2015,52.311179185169095,1
QAT,1,2018,36.65645794093,1
SAU,1,1990,84.740253166901,1
SAU,1,1995,107.35502400739989,1
SAU,1,2000,50.05309781118294,1
SAU,1,2005,89.13195679844489,1
SAU,1,2010,123.80505778794131,1
SAU,1,2015,106.6790890044253,1
SAU,1,2018,81.4123078170765,1
SDN,1,1990,16.37489603404575,1
SDN,1,1995,242.85882129431255,0
SDN,1,2000,72.9916011706571,1
SDN,1,2005,134.56775625722875,1
SDN,1,2010,36.46462444841925,1
SDN,1,2015,85.32076754719397,1
SDN,1,2018,19.82501244739279,1
SYR,1,1990,9.99484694143673,1
SYR,1,1995,10.4574132976076,1
SYR,1,2000,11.975137871486,1
SYR,1,2005,13.3157414935668,1
SYR,1,2010,16.2588601641548,1
SYR,1,2015,15.476347241408,1
SYR,1,2018,15.2131789495561,1
TUN,1,1990,0.687668038799159,1
TUN,1,1995,0.685261743864723,1
TUN,1,2000,0.941892727997044,1
TUN,1,2005,0.840451238825333,1
TUN,1,2010,0.923622927152403,1
TUN,1,2015,0.930266298234297,1
TUN,1,2018,0.817460451982855,1
YEM,1,1990,8.47490872161757,1
YEM,1,1995,7.56055975021891,1
YEM,1,2000,9.9612895908298,1
YEM,1,2005,14.1852329134138,1
YEM,1,2010,17.1089901690504,1
YEM,1,2015,17.8151405325035,1
YEM,1,2018,17.7147651244794,1
