iso3,female,year,v08_type,v08_type_desc,median,score
OMN,1,2000,1,1: Foods & Beverages,17.2286618828165,0
OMN,1,2005,1,1: Foods & Beverages,18.9654447014806,0
OMN,1,2010,1,1: Foods & Beverages,30.755383321037,0
OMN,1,2015,1,1: Foods & Beverages,26.5214851795317,0
OMN,1,2018,1,1: Foods & Beverages,25.8548293051471,0
PAK,1,1990,1,1: Foods & Beverages,33.6128863047679,0
PAK,1,1995,1,1: Foods & Beverages,36.205516552288,0
PAK,1,2000,1,1: Foods & Beverages,34.5354949432127,0
PAK,1,2005,1,1: Foods & Beverages,57.8061375127347,0
PAK,1,2010,1,1: Foods & Beverages,61.9043719603824,0
PAK,1,2015,1,1: Foods & Beverages,73.84385660173,0
PAK,1,2018,1,1: Foods & Beverages,79.9526762822086,0
PSE,1,1990,1,1: Foods & Beverages,12.176759488359,0
PSE,1,1995,1,1: Foods & Beverages,12.2019105888573,0
PSE,1,2000,1,1: Foods & Beverages,12.5702635163507,0
PSE,1,2005,1,1: Foods & Beverages,12.9224286455963,0
PSE,1,2010,1,1: Foods & Beverages,13.1959298816493,0
PSE,1,2015,1,1: Foods & Beverages,13.2372097778868,0
PSE,1,2018,1,1: Foods & Beverages,13.3587215629981,0
QAT,1,1990,1,1: Foods & Beverages,13.019083894005,0
QAT,1,1995,1,1: Foods & Beverages,13.4459667419503,0
QAT,1,2000,1,1: Foods & Beverages,13.7972386550269,0
QAT,1,2005,1,1: Foods & Beverages,14.2655913051016,0
QAT,1,2010,1,1: Foods & Beverages,14.9003012131433,0
QAT,1,2015,1,1: Foods & Beverages,14.6091125853919,0
QAT,1,2018,1,1: Foods & Beverages,14.6909185010794,0
SAU,1,1990,1,1: Foods & Beverages,12.8937198005351,0
SAU,1,1995,1,1: Foods & Beverages,41.537145281544,0
SAU,1,2000,1,1: Foods & Beverages,30.5589034857291,0
SAU,1,2005,1,1: Foods & Beverages,19.9266242104246,0
SAU,1,2010,1,1: Foods & Beverages,24.9823041499995,0
SAU,1,2015,1,1: Foods & Beverages,20.4193145831426,0
SAU,1,2018,1,1: Foods & Beverages,23.4149744016801,0
SDN,1,1990,1,1: Foods & Beverages,34.6675057788032,0
SDN,1,1995,1,1: Foods & Beverages,35.5465369602254,0
SDN,1,2000,1,1: Foods & Beverages,35.744477772532,0
SDN,1,2005,1,1: Foods & Beverages,36.2239785018035,0
SDN,1,2010,1,1: Foods & Beverages,36.5045510461517,0
SDN,1,2015,1,1: Foods & Beverages,35.9421402819709,0
SDN,1,2018,1,1: Foods & Beverages,36.1475671022183,0
SYR,1,1990,1,1: Foods & Beverages,12.1505296756418,0
SYR,1,1995,1,1: Foods & Beverages,12.5722416777756,0
SYR,1,2000,1,1: Foods & Beverages,12.7369190612864,0
SYR,1,2005,1,1: Foods & Beverages,13.4185064565519,0
