iso3,female,year,varnum,v06_type,v06_type_desc,median,upperci_95,lowerci_95,serving,s_lowerci_95,s_upperci_95,score
IRN,1,2010,6,1,1: Foods & Beverages,0.39767301885903716,7.70166171875216,5.77194554538941,0.23652796,0.20460637,0.27301177,0
IRN,1,2015,6,1,1: Foods & Beverages,0.39647983307732876,7.71461230559912,5.82291294778628,0.23747581,0.20641309,0.27347085,0
IRN,1,2018,6,1,1: Foods & Beverages,0.40203379196665334,7.91860285920712,5.97940378099486,0.24410276,0.2120356,0.2808015,0
IRQ,1,1990,6,1,1: Foods & Beverages,1.9783893230975007,65.4747042666469,24.1820171421033,1.5043554,0.86148977,2.332551,0
IRQ,1,1995,6,1,1: Foods & Beverages,1.2543479592574802,47.6047399314523,14.705370570584,0.98782557,0.52369553,1.6953255,0
IRQ,1,2000,6,1,1: Foods & Beverages,0.4138338195498307,3.61714690009063,0.851098858135611,0.061154764,0.030309789,0.12881577,0
IRQ,1,2005,6,1,1: Foods & Beverages,0.47514902846290247,4.36318859485838,1.05583210987769,0.07549078,0.037587471,0.15532888,0
IRQ,1,2010,6,1,1: Foods & Beverages,0.31821547324119115,2.90555389699698,0.656492384182963,0.048628341,0.023362719,0.10340049,0
IRQ,1,2015,6,1,1: Foods & Beverages,0.6124547026045133,20.447485271541,5.20962863070824,0.37074375,0.18533008,0.72740966,0
IRQ,1,2018,6,1,1: Foods & Beverages,0.796980150425294,24.2614315130594,6.14233511902431,0.43989727,0.21843296,0.86278206,0
JOR,1,1990,6,1,1: Foods & Beverages,0.4998887129313947,9.76316885364304,5.16983835779519,0.25328952,0.18417664,0.34781507,0
JOR,1,1995,6,1,1: Foods & Beverages,0.45798004383977065,9.69118596626762,5.06846724766909,0.24869545,0.18037249,0.34488207,0
JOR,1,2000,6,1,1: Foods & Beverages,0.6157203902314252,14.3651424095811,7.6605201347978,0.37196544,0.27261636,0.51121503,0
JOR,1,2005,6,1,1: Foods & Beverages,0.6134301030994915,12.7431391106018,6.78231109180708,0.32950425,0.24127752,0.45333114,0
JOR,1,2010,6,1,1: Foods & Beverages,0.5887688144665157,13.0633273843329,6.91875186547908,0.33729613,0.2460438,0.46455643,0
JOR,1,2015,6,1,1: Foods & Beverages,0.6542584068774113,14.5714583359022,7.78312850448623,0.37855241,0.27658594,0.51782012,0
JOR,1,2018,6,1,1: Foods & Beverages,0.6297383892634403,14.4372240143967,7.7071899914181,0.37405992,0.27359566,0.5125035,0
KWT,1,1990,6,1,1: Foods & Beverages,0.6453886606194722,11.8729867751294,2.81913348281263,0.20215514,0.10025368,0.42222568,0
KWT,1,1995,6,1,1: Foods & Beverages,0.615876910276235,13.9940697376792,3.36100396320573,0.24206336,0.11943866,0.4973017,0
KWT,1,2000,6,1,1: Foods & Beverages,0.7752163454356211,18.6167816207476,4.68015985879514,0.33878174,0.16637611,0.66181237,0
KWT,1,2005,6,1,1: Foods & Beverages,0.663415675570268,17.272484159693,4.25533159268702,0.30125791,0.15111263,0.61336946,0
KWT,1,2010,6,1,1: Foods & Beverages,0.9807495378314492,35.564229226841,9.7401362170039,0.67431217,0.34576273,1.262486,0
KWT,1,2015,6,1,1: Foods & Beverages,1.1871258101917275,39.6443299915369,11.1428936337987,0.77774853,0.39527825,1.4063259,0
KWT,1,2018,6,1,1: Foods & Beverages,1.3011639409660654,43.1395604909551,12.1614378516039,0.85455865,0.43125665,1.5297716,0
LBN,1,1990,6,1,1: Foods & Beverages,0.9904496659277201,19.8361840164575,12.944962151948,0.57072246,0.45985657,0.70466018,0
LBN,1,1995,6,1,1: Foods & Beverages,1.5479253913420492,40.3704787172992,26.6685059035366,1.1685669,0.94737142,1.4341201,0
LBN,1,2000,6,1,1: Foods & Beverages,2.2350239045599682,65.5147098070631,43.4820012103173,1.9011055,1.5430093,2.3248656,0
LBN,1,2005,6,1,1: Foods & Beverages,1.4632158511959454,41.9305849351968,27.7076365719643,1.2128314,0.98254025,1.4869001,0
LBN,1,2010,6,1,1: Foods & Beverages,1.69870895102225,50.1285248412404,33.2347495347218,1.4535296,1.1772848,1.7757182,0
LBN,1,2015,6,1,1: Foods & Beverages,1.4650840520374797,41.129196533735,27.1991849367274,1.18794,0.96451008,1.4584821,0
LBN,1,2018,6,1,1: Foods & Beverages,1.6765156366313088,48.7260478063687,32.3118872934703,1.4102561,1.1458116,1.727874,0
LBR,1,1990,6,1,1: Foods & Beverages,0.3590281893136193,10.8360252304751,2.98846709173305,0.19692084,0.10650275,0.3861734,0
LBR,1,1995,6,1,1: Foods & Beverages,0.5018821199260666,17.0678651004045,4.78529773016675,0.31152308,0.17041659,0.60782993,0
LBR,1,2000,6,1,1: Foods & Beverages,0.3638200507788586,9.696095537861773,2.64569083377536,0.1724862,0.094253324,0.34542558,0
LBR,1,2005,6,1,1: Foods & Beverages,0.3757948198700208,12.1877217005282,3.40423974989905,0.21989378,0.1212768,0.4341903,0
LBR,1,2010,6,1,1: Foods & Beverages,0.24563877795094108,7.02009203788664,1.91227261921311,0.12564947,0.068100877,0.25000328,0
