iso3,female,year,v09_type,v09_type_desc,median,score
IRQ,0,1990,1,1: Foods & Beverages,112.2119513834461,1
IRQ,0,1995,1,1: Foods & Beverages,46.2993306314912,1
IRQ,0,2000,1,1: Foods & Beverages,41.406919427367995,1
IRQ,0,2005,1,1: Foods & Beverages,75.989313048981,1
IRQ,0,2010,1,1: Foods & Beverages,82.2659383194526,1
IRQ,0,2015,1,1: Foods & Beverages,125.3372763495704,1
IRQ,0,2018,1,1: Foods & Beverages,195.05128911757618,0
JOR,0,1990,1,1: Foods & Beverages,38.8139193513678,1
JOR,0,1995,1,1: Foods & Beverages,30.217253588702498,1
JOR,0,2000,1,1: Foods & Beverages,51.316677677350896,1
JOR,0,2005,1,1: Foods & Beverages,39.9710535121967,1
JOR,0,2010,1,1: Foods & Beverages,50.73517580251659,1
JOR,0,2015,1,1: Foods & Beverages,134.6474267300379,1
JOR,0,2018,1,1: Foods & Beverages,60.4206983082815,1
KWT,0,1990,1,1: Foods & Beverages,31.24539741035941,1
KWT,0,1995,1,1: Foods & Beverages,130.5508012426231,1
KWT,0,2000,1,1: Foods & Beverages,68.3206337275398,1
KWT,0,2005,1,1: Foods & Beverages,206.8266809489889,0
KWT,0,2010,1,1: Foods & Beverages,48.652738127592556,1
KWT,0,2015,1,1: Foods & Beverages,103.4467027426063,1
KWT,0,2018,1,1: Foods & Beverages,61.165356997566704,1
LBN,0,1990,1,1: Foods & Beverages,64.90014085601837,1
LBN,0,1995,1,1: Foods & Beverages,34.5638461595598,1
LBN,0,2000,1,1: Foods & Beverages,37.614649647011404,1
LBN,0,2005,1,1: Foods & Beverages,83.9629035348479,1
LBN,0,2010,1,1: Foods & Beverages,52.841948049208995,1
LBN,0,2015,1,1: Foods & Beverages,52.9595502852073,1
LBN,0,2018,1,1: Foods & Beverages,24.8116204194801,1
LBR,0,1990,1,1: Foods & Beverages,39.6825971860937,1
LBR,0,1995,1,1: Foods & Beverages,84.3474315805662,1
LBR,0,2000,1,1: Foods & Beverages,40.07745349742963,1
LBR,0,2005,1,1: Foods & Beverages,90.38463099536071,1
LBR,0,2010,1,1: Foods & Beverages,64.96925127824039,1
LBR,0,2015,1,1: Foods & Beverages,107.3899737088518,1
LBR,0,2018,1,1: Foods & Beverages,87.2534394478301,1
MAR,0,1990,1,1: Foods & Beverages,42.7897462360374,1
MAR,0,1995,1,1: Foods & Beverages,26.37623643249999,1
MAR,0,2000,1,1: Foods & Beverages,47.9790554777288,1
MAR,0,2005,1,1: Foods & Beverages,80.50189967716119,1
MAR,0,2010,1,1: Foods & Beverages,121.9905024341864,1
MAR,0,2015,1,1: Foods & Beverages,64.7541260438175,1
MAR,0,2018,1,1: Foods & Beverages,80.81360614200571,1
OMN,0,1990,1,1: Foods & Beverages,29.4044090584424,1
OMN,0,1995,1,1: Foods & Beverages,187.0622999066456,0
OMN,0,2000,1,1: Foods & Beverages,122.690585168109,1
OMN,0,2005,1,1: Foods & Beverages,135.54387255094701,1
OMN,0,2010,1,1: Foods & Beverages,228.2884728178769,0
OMN,0,2015,1,1: Foods & Beverages,37.1039424063333,1
OMN,0,2018,1,1: Foods & Beverages,56.8769476836679,1
PAK,0,1990,1,1: Foods & Beverages,108.88469299504153,1
PAK,0,1995,1,1: Foods & Beverages,31.73921755834599,1
PAK,0,2000,1,1: Foods & Beverages,25.7437615686126,1
PAK,0,2005,1,1: Foods & Beverages,32.24907050326027,1
PAK,0,2010,1,1: Foods & Beverages,87.96185114785011,1
PAK,0,2015,1,1: Foods & Beverages,26.19228439182795,1
PAK,0,2018,1,1: Foods & Beverages,45.58973602230485,1
PSE,0,1990,1,1: Foods & Beverages,74.2896870252111,1
PSE,0,1995,1,1: Foods & Beverages,86.0102447779317,1
PSE,0,2000,1,1: Foods & Beverages,40.0933863226092,1
PSE,0,2005,1,1: Foods & Beverages,15.43463617056996,1
PSE,0,2010,1,1: Foods & Beverages,42.9551378994439,1
PSE,0,2015,1,1: Foods & Beverages,57.2163786576446,1
PSE,0,2018,1,1: Foods & Beverages,33.443830019591005,1
QAT,0,1990,1,1: Foods & Beverages,98.4017068409569,1
QAT,0,1995,1,1: Foods & Beverages,85.9687435550641,1
QAT,0,2000,1,1: Foods & Beverages,98.8012402992951,1
QAT,0,2005,1,1: Foods & Beverages,142.7274838480653,1
QAT,0,2010,1,1: Foods & Beverages,52.925524959115606,1
QAT,0,2015,1,1: Foods & Beverages,65.592145386133,1
QAT,0,2018,1,1: Foods & Beverages,33.50831259720404,1
SAU,0,1990,1,1: Foods & Beverages,88.5976434687701,1
SAU,0,1995,1,1: Foods & Beverages,141.01552097286893,1
SAU,0,2000,1,1: Foods & Beverages,116.30763638009489,1
SAU,0,2005,1,1: Foods & Beverages,103.8902921060731,1
SAU,0,2010,1,1: Foods & Beverages,131.0419368898103,1
SAU,0,2015,1,1: Foods & Beverages,87.16538495090222,1
SAU,0,2018,1,1: Foods & Beverages,98.83891232881881,1
SDN,0,1990,1,1: Foods & Beverages,23.312420756401497,1
SDN,0,1995,1,1: Foods & Beverages,123.10396820136552,1
SDN,0,2000,1,1: Foods & Beverages,91.71175413994487,1
SDN,0,2005,1,1: Foods & Beverages,70.37534731588877,1
SDN,0,2010,1,1: Foods & Beverages,48.915560576290005,1
SDN,0,2015,1,1: Foods & Beverages,35.86017473817211,1
SDN,0,2018,1,1: Foods & Beverages,79.9183527718724,1
SYR,0,1990,1,1: Foods & Beverages,12.0734549634963,1
SYR,0,1995,1,1: Foods & Beverages,12.7676811154029,1
SYR,0,2000,1,1: Foods & Beverages,14.8281796811526,1
SYR,0,2005,1,1: Foods & Beverages,16.194901881952,1
SYR,0,2010,1,1: Foods & Beverages,19.7859751564566,1
SYR,0,2015,1,1: Foods & Beverages,19.014237173182,1
SYR,0,2018,1,1: Foods & Beverages,18.6022278268465,1
TUN,0,1990,1,1: Foods & Beverages,0.848521391888995,1
TUN,0,1995,1,1: Foods & Beverages,0.842600210076851,1
TUN,0,2000,1,1: Foods & Beverages,1.15376173127677,1
TUN,0,2005,1,1: Foods & Beverages,1.03122075202067,1
TUN,0,2010,1,1: Foods & Beverages,1.13522223650245,1
TUN,0,2015,1,1: Foods & Beverages,1.15114937154936,1
TUN,0,2018,1,1: Foods & Beverages,1.01521112414881,1
YEM,0,1990,1,1: Foods & Beverages,10.403481907498,1
YEM,0,1995,1,1: Foods & Beverages,9.2397581659523,1
YEM,0,2000,1,1: Foods & Beverages,11.9239750002562,1
YEM,0,2005,1,1: Foods & Beverages,17.3240090739143,1
YEM,0,2010,1,1: Foods & Beverages,20.7306769857466,1
YEM,0,2015,1,1: Foods & Beverages,21.6811461460663,1
YEM,0,2018,1,1: Foods & Beverages,21.3703520251379,1
