iso3,female,year,v57_type,v57_type_desc,median,score
QAT,0,1990,1,1: Foods & Beverages,177.48098407841408,0
QAT,0,1995,1,1: Foods & Beverages,182.9779832514837,0
QAT,0,2000,1,1: Foods & Beverages,193.77047907386947,0
QAT,0,2005,1,1: Foods & Beverages,187.99216937199577,0
QAT,0,2010,1,1: Foods & Beverages,192.8229320320535,0
QAT,0,2015,1,1: Foods & Beverages,197.33213501037991,0
QAT,0,2018,1,1: Foods & Beverages,195.8023630561253,0
SAU,0,1990,1,1: Foods & Beverages,195.3367171133619,0
SAU,0,1995,1,1: Foods & Beverages,156.4241589487467,0
SAU,0,2000,1,1: Foods & Beverages,181.7136602747856,0
SAU,0,2005,1,1: Foods & Beverages,195.9995029576854,0
SAU,0,2010,1,1: Foods & Beverages,189.9493842510771,0
SAU,0,2015,1,1: Foods & Beverages,163.15338788547882,0
SAU,0,2018,1,1: Foods & Beverages,165.08309517208102,0
SDN,0,1990,1,1: Foods & Beverages,80.85742270277176,0
SDN,0,1995,1,1: Foods & Beverages,83.93446605691165,0
SDN,0,2000,1,1: Foods & Beverages,86.80981019499912,0
SDN,0,2005,1,1: Foods & Beverages,97.6035120569319,0
SDN,0,2010,1,1: Foods & Beverages,98.10629082363069,0
SDN,0,2015,1,1: Foods & Beverages,91.28156835240326,0
SDN,0,2018,1,1: Foods & Beverages,89.45052520251451,0
SYR,0,1990,1,1: Foods & Beverages,171.847973084259,0
SYR,0,1995,1,1: Foods & Beverages,176.72296747722493,0
SYR,0,2000,1,1: Foods & Beverages,185.7540675726689,0
SYR,0,2005,1,1: Foods & Beverages,183.4352400234363,0
SYR,0,2010,1,1: Foods & Beverages,195.9087568396632,0
SYR,0,2015,1,1: Foods & Beverages,197.4685306510849,0
SYR,0,2018,1,1: Foods & Beverages,195.82511809265327,0
TUN,0,1990,1,1: Foods & Beverages,116.74788136578692,0
TUN,0,1995,1,1: Foods & Beverages,136.0753478927512,0
TUN,0,2000,1,1: Foods & Beverages,175.821536293692,0
TUN,0,2005,1,1: Foods & Beverages,164.06874466209283,0
TUN,0,2010,1,1: Foods & Beverages,201.6973964675707,0
TUN,0,2015,1,1: Foods & Beverages,228.74245035963457,0
TUN,0,2018,1,1: Foods & Beverages,224.61767866711057,0
YEM,0,1990,1,1: Foods & Beverages,102.46678160603993,0
YEM,0,1995,1,1: Foods & Beverages,64.09200803357241,0
YEM,0,2000,1,1: Foods & Beverages,86.77589250255215,0
YEM,0,2005,1,1: Foods & Beverages,99.53535493983466,0
YEM,0,2010,1,1: Foods & Beverages,87.38851299444643,0
YEM,0,2015,1,1: Foods & Beverages,80.99969444339739,0
YEM,0,2018,1,1: Foods & Beverages,121.11098563205641,0
