Food,mean_co2,median_co2,no
['MILK' 'SKIMMED MILK'],1164.95,1164.95,2.0
['CHEESE'],8798.123,8798.123,1.0
['MOZZARELLA'],9225.0,9225.0,1.0
['YOGURT'],3618.89,3618.89,1.0
['MARGARINE'],1360.0,1360.0,1.0
['BUTTER'],8405.635,8405.635,1.0
['CREAM'],5919.83,5919.83,1.0
['APPLES'],205.223,205.223,1.0
['BANANAS'],918.48,918.48,1.0
['KIWIS'],1237.67,1237.67,1.0
['CHINESE ORANGE' 'CITRUS' 'MANDERIN ORANGES' 'ORANGES' 'TANGERINES'],253.748,269.0,5.0
['POMEGRANATE'],1115.38,1115.38,1.0
['CHERRIES'],355.0,355.0,1.0
['BLUEBERRIES' 'RASPBERRIES' 'STRAWBERRIES'],2937.730666666667,776.0,3.0
['NECTARINE' 'PEACH'],269.0,269.0,2.0
['PEARS'],120.62,120.62,1.0
['MELONS'],1102.35,1102.35,1.0
['GRAPES'],355.0,355.0,1.0
['LEMON JUICE' 'ORANGE JUICE' 'PEAR JUICE'],647.0966666666667,650.0,3.0
['EGGPLANT'],93.96,93.96,1.0
['ZUCCHINI'],526.48,526.48,1.0
['CARROTS'],195.914,195.914,1.0
['ONIONS'],196.1,196.1,1.0
['MUSHROOMS'],2376.97,2376.97,1.0
['GREEN BEANS'],1977.16,1977.16,1.0
['FAVA BEANS'],826.0,826.0,1.0
['SPINACH' 'VEGETABLES'],524.545,524.545,2.0
['CUCUMBERS'],271.429,271.429,1.0
['TOMATOES'],719.31,719.31,1.0
['LETTUCE'],296.383,296.383,1.0
['BROCCOLI' 'CABBAGE' 'CAULIFLOWER'],573.5,218.1,3.0
['PEPPERS'],3069.72,3069.72,1.0
['BEETROOT'],110.0,110.0,1.0
['EGGS'],3104.98,3104.98,1.0
['POULTRY MEAT'],2860.012,2860.012,1.0
['BEEF MEAT' 'COW MEAT' 'LAMB MEAT' 'MINCEAD MEAT' 'VEAL MEAT'],15301.901600000001,17182.559,5.0
"['CODFISH' 'DIAMOND FISH' 'FISH' 'FISH FILLET' 'HERRING' 'SALMON'
 'SARDINE' 'SHRIMPS' 'SOLE' 'TROUT' 'TUNA' 'TURBOT' 'WHITING']",5050.516538461538,2850.83,13.0
['RICE'],2052.612,2052.612,1.0
['BREAD' 'HOTDOG BAGUETTE' 'ROLLS'],1064.4186666666667,963.256,3.0
['PASTA'],1285.55,1285.55,1.0
['BEANS' 'DRY LEGUMES' 'LEGUMES' 'PEAS' 'SOYBEAN' 'SOYBEAN OIL'],1077.6943333333334,766.818,6.0
['POTATOES'],151.42,151.42,1.0
['HAMBURGER' 'SAUSAGE'],13700.0,13700.0,2.0
['ALMONDS' 'CASHEW NUT' 'PEANUT' 'PISTACHIO' 'WALNUTS'],2042.73,1853.33,5.0
['DRIED FRUIT' 'RAISINS'],1241.75,1241.75,2.0
"['BISCUITS' 'CAKES' 'CORNETTI alla crema' ""CORNETTI all'albicocca""
 'CRACKER GRAN PAVESI' 'MOONCAKE' 'PAN GOCCIOLI' 'PARADISE CAKE'
 'PLUMCAKE allo YOGURT' 'PLUMCAKE con GOCCE DI CIOCCOLATO'
 'PLUMCAKE INTEGRALE' 'SACCOTTINI al cioccolato' 'SACCOTTINI alla crema'
 ""SACCOTTINI all'albicocca"" 'SFOGLIA DI GRANO non salati'
 'SFOGLIA DI GRANO salati' 'VANILLA DANISH PASTRY']",2150.235294117647,2015.0,17.0
['CANE SUGAR' 'CHOCOLATE' 'HONEY' 'SUGAR'],1454.29,1001.58,4.0
['OLIVE OIL'],3038.44,3038.44,1.0
['SOYBEAN OIL' 'SUNFLOWER OIL'],1200.39,1200.39,2.0
['WHOLE WHEAT PASTA' 'FLOUR'],679.25,679.25,2.0
