index,iso3,year,median,emissions,income_group
0,AFG,1990,364.383691796582,717.6536809933683,Low income
1,AFG,1995,379.151377769681,746.7386385173867,Low income
2,AFG,2000,382.158786784841,752.6617305727444,Low income
3,AFG,2005,379.989678509575,748.389671824608,Low income
4,AFG,2010,339.74264602892,669.1231413539579,Low income
5,AFG,2015,235.806958936443,464.4218056253245,Low income
6,AFG,2018,232.18420459649,457.28679095278704,Low income
7,ARE,1990,224.02607466334,441.21935404944816,High income
8,ARE,1995,286.156304516886,563.584841746007,High income
9,ARE,2000,259.403119856013,510.8944445564176,High income
10,ARE,2005,334.987907007916,659.7586828520906,High income
11,ARE,2010,340.169246090297,669.96333017484,High income
12,ARE,2015,332.598677531126,655.0530953975526,High income
13,ARE,2018,341.014203834061,671.6274744511832,High income
14,BHR,1990,382.384390801659,753.1060576838673,High income
15,BHR,1995,415.73144176177,818.783074549806,High income
16,BHR,2000,444.222148034159,874.8955205532761,High income
17,BHR,2005,456.858203060766,899.7822309281787,High income
18,BHR,2010,468.046416838867,921.8174179641486,High income
19,BHR,2015,478.487015595707,942.3801772157448,High income
20,BHR,2018,458.638623736764,903.2887694495566,High income
21,DJI,1990,216.782729162128,426.95358508481104,Lower middle income
22,DJI,1995,233.977684436241,460.8190494971766,Lower middle income
23,DJI,2000,228.759467422164,450.541771087952,Lower middle income
24,DJI,2005,227.645695935395,448.3481981447604,Lower middle income
25,DJI,2010,238.621436348679,469.9649188887233,Lower middle income
26,DJI,2015,226.695400755697,446.4765917883452,Lower middle income
27,DJI,2018,232.650555729249,458.2052695087559,Lower middle income
28,EGY,1990,205.700212114535,405.12656775957663,Lower middle income
29,EGY,1995,213.296028530657,420.0865281911289,Lower middle income
30,EGY,2000,217.21207981402,427.7991911937124,Lower middle income
31,EGY,2005,215.709043813364,424.8389617904204,Lower middle income
32,EGY,2010,213.828788782097,421.1357995063401,Lower middle income
33,EGY,2015,210.172474558355,413.93468864268016,Lower middle income
34,EGY,2018,207.131792284325,407.9460649039781,Lower middle income
35,IRN,1990,458.271239601892,902.5652063959262,Upper middle income
