Country,year,emissions,income_group
MAR,2018,2745.46286889619,Lower middle income
OMN,1990,1932.9459942228723,High income
OMN,1995,2202.6475187423302,High income
OMN,2000,2376.9985510731576,High income
OMN,2005,2799.6559971285724,High income
OMN,2010,3434.992577275431,High income
OMN,2015,3106.770126058542,High income
OMN,2018,2860.894381923555,High income
PAK,1990,1476.3316413454918,Lower middle income
PAK,1995,1637.1589913040318,Lower middle income
PAK,2000,1422.803720166734,Lower middle income
PAK,2005,1392.7528429508272,Lower middle income
PAK,2010,1600.5870664697109,Lower middle income
PAK,2015,1552.0031737113668,Lower middle income
PAK,2018,1595.6092762764415,Lower middle income
PSE,1990,2293.503288232912,Lower middle income
PSE,1995,2472.2686719487165,Lower middle income
PSE,2000,2554.917195283694,Lower middle income
PSE,2005,2646.578384474102,Lower middle income
PSE,2010,2828.9473571113863,Lower middle income
PSE,2015,2902.775091261895,Lower middle income
PSE,2018,2809.8890473938645,Lower middle income
QAT,1990,2452.0366889163984,High income
QAT,1995,2717.3515953979377,High income
QAT,2000,2783.8510077392743,High income
QAT,2005,2889.971201044738,High income
QAT,2010,2935.5235026502824,High income
QAT,2015,2980.1566655529127,High income
QAT,2018,2883.921282617084,High income
SAU,1990,2641.3774373595334,High income
SAU,1995,2826.0641321356647,High income
SAU,2000,3098.4771619236185,High income
SAU,2005,3068.8783351691977,High income
SAU,2010,3651.749500295548,High income
SAU,2015,3657.0120643821806,High income
SAU,2018,3298.742890324528,High income
SDN,1990,1418.28601066931,Low income
SDN,1995,1370.9281095897554,Low income
SDN,2000,1406.5902172265612,Low income
SDN,2005,1489.3111071315914,Low income
SDN,2010,1573.981430034234,Low income
SDN,2015,1548.7357416735604,Low income
SDN,2018,1556.2164505538658,Low income
SYR,1990,2209.204584969344,Low income
SYR,1995,2451.80901643084,Low income
SYR,2000,2521.166443163882,Low income
SYR,2005,2623.045646182932,Low income
SYR,2010,2697.907911305793,Low income
SYR,2015,2788.4908430930777,Low income
SYR,2018,2695.012372961675,Low income
TUN,1990,1602.5458197498588,Lower middle income
TUN,1995,1703.8736961737472,Lower middle income
TUN,2000,1825.351756289199,Lower middle income
TUN,2005,1842.7211896052056,Lower middle income
TUN,2010,1920.930872641536,Lower middle income
TUN,2015,1895.348829164432,Lower middle income
TUN,2018,1852.2744838714725,Lower middle income
YEM,1990,1176.4049530821185,Low income
YEM,1995,947.8741643855448,Low income
YEM,2000,1149.6558985595882,Low income
YEM,2005,1446.579798244033,Low income
YEM,2010,1423.7143029997387,Low income
YEM,2015,1628.7054008448035,Low income
YEM,2018,1544.3908859535622,Low income
EMR,1990,1974.9805242681737,
EMR,1995,1980.285008628276,
EMR,2000,2227.7366581272217,
EMR,2005,2375.636270629325,
EMR,2010,2499.379246847354,
EMR,2015,2362.866061165825,
EMR,2018,2359.732845003195,
AFG,2020,151.54651274483277,Low income
ARE,2020,499.0522689359587,High income
BHR,2020,676.2644316553747,High income
DJI,2020,380.44278246500767,Lower middle income
EGY,2020,503.09693204128064,Lower middle income
IRN,2020,281.7031730233212,Upper middle income
IRQ,2020,952.158704876148,Upper middle income
JOR,2020,945.522354893172,Lower middle income
KWT,2020,447.6709064673804,High income
LBN,2020,403.9763657877468,Lower middle income
LBR,2020,428.73080630499766,Low income
MAR,2020,457.8947057361872,Lower middle income
OMN,2020,758.3157177945069,High income
PAK,2020,480.1989906887415,Lower middle income
PSE,2020,674.2580347529558,Lower middle income
QAT,2020,635.7306263945944,High income
SAU,2020,615.9466787578004,High income
SDN,2020,291.8895268568912,Low income
SYR,2020,639.4096729116493,Low income
TUN,2020,659.2506883429553,Lower middle income
YEM,2020,367.0894308967575,Low income
EMR,2020,499.0522689359587,
