,female,year,median,score
827,999,1990,147.27551699999998,0
1655,999,1995,155.985674,0
2483,999,2000,177.113549,0
3311,999,2005,189.504338,0
4139,999,2010,202.69467,0
4967,999,2015,206.81500400000002,0
5795,999,2018,209.748673,0
