,female,year,median,score
803,0,1990,2.866827,0
1631,0,1995,3.2787457,0
2459,0,2000,4.0203795,0
3287,0,2005,4.8686686,0
4115,0,2010,6.8422465,0
4943,0,2015,6.9942384,0
5771,0,2018,8.037858,0
