,female,year,median,score
827,999,1990,73.951759,0
1655,999,1995,76.698715,0
2483,999,2000,80.305771,0
3311,999,2005,83.329742,0
4139,999,2010,83.711075,0
4967,999,2015,80.087791,0
5795,999,2018,80.479057,0
