,female,year,median,score
815,1,1990,154.56689599999999,0
1643,1,1995,163.450122,0
2471,1,2000,185.336505,0
3299,1,2005,198.19962099999998,0
4127,1,2010,211.700547,0
4955,1,2015,215.93919499999998,0
5783,1,2018,218.835073,0
