,female,year,median,score
803,0,1990,139.905346,0
1631,0,1995,148.517782,0
2459,0,2000,168.846246,0
3287,0,2005,180.774142,0
4115,0,2010,193.688218,0
4943,0,2015,197.82275499999997,0
5771,0,2018,200.685777,0
