female,year,median,score
0,1990,1.118331595451038,1
0,1995,1.1071600901308356,1
0,2000,1.0878943678923751,1
0,2005,1.0651626586350957,1
0,2010,1.055696710425663,1
0,2015,1.0669265758329693,1
0,2018,1.0693631614318095,1
