,female,year,median,score
803,0,1990,67.915955,0
1631,0,1995,70.523109,0
2459,0,2000,73.972145,0
3287,0,2005,76.831894,0
4115,0,2010,77.458946,0
4943,0,2015,74.156265,0
5771,0,2018,74.56414,0
