,female,year,median,score
827,999,1990,25.098932,0
1655,999,1995,25.970915,0
2483,999,2000,26.27334,0
3311,999,2005,26.383993,0
4139,999,2010,27.216255,0
4967,999,2015,26.328943,0
5795,999,2018,26.086248,0
