,female,year,median,score
803,0,1990,42.111038,0
1631,0,1995,43.575867,0
2459,0,2000,43.856571,0
3287,0,2005,46.034481,0
4115,0,2010,48.769474,0
4943,0,2015,48.074139,0
5771,0,2018,49.224751,0
