,female,year,median,score
827,999,1990,2.8868775,0
1655,999,1995,3.3013783,0
2483,999,2000,4.0390821,0
3311,999,2005,4.9033971,0
4139,999,2010,6.8509679,0
4967,999,2015,6.9769216,0
5795,999,2018,8.040616,0
