Unnamed: 0,female,year,median,score
803,,17910,445.49165959545104,3
1631,,17955,468.08900199013084,3
2459,,18000,496.76054196789244,3
3287,,18045,555.3074140586351,3
4115,,18090,559.6570077104257,3
4943,,18135,509.630601375833,3
5771,,18162,516.9866025614318,3
