,female,year,median,score
827,999,1990,52.81571099999999,1
1655,999,1995,57.286484,1
2483,999,2000,23.1837897,1
3311,999,2005,76.865191,1
4139,999,2010,61.980263,1
4967,999,2015,16.901436,1
5795,999,2018,17.300306,1
