Unnamed: 0,female,year,median,score
827,,17910,465.8968641016569,3
1655,,17955,490.6579354802659,3
2483,,18000,488.42305560757615,3
3311,,18045,569.7442426354689,3
4139,,18090,584.928702180828,3
4967,,18135,529.2901958661337,3
5795,,18162,536.6423067599268,3
