,female,year,median,score
827,999,1990,20.500124,0
1655,999,1995,22.042818,0
2483,999,2000,23.408976,0
3311,999,2005,25.656742,0
4139,999,2010,28.502771,0
4967,999,2015,28.281727,0
5795,999,2018,28.388988,0
