,female,year,median,score
803,0,1990,95.47110500000001,1
1631,0,1995,99.9949972,1
2459,0,2000,104.4736711,1
3287,0,2005,111.13133780000001,1
4115,0,2010,119.3662305,1
4943,0,2015,110.4592704,1
5771,0,2018,112.06342240000001,1
