,female,year,median,score
827,999,1990,100.203968,1
1655,999,1995,104.8423381,1
2483,999,2000,109.3281808,1
3311,999,2005,116.25741190000001,1
4139,999,2010,124.4107149,1
4967,999,2015,115.0624198,1
5795,999,2018,116.6635629,1
