,female,year,median,score
803,0,1990,24.785944,0
1631,0,1995,25.626541,0
2459,0,2000,25.939295,0
3287,0,2005,26.0441,0
4115,0,2010,26.864048,0
4943,0,2015,25.944256,0
5771,0,2018,25.708652,0
