,female,year,median,score
815,1,1990,21.292933,0
1643,1,1995,22.82354,0
2471,1,2000,24.247681,0
3299,1,2005,26.607719,0
4127,1,2010,29.531687,1
4955,1,2015,29.265602,1
5783,1,2018,29.38073,1
