Unnamed: 0,female,year,median,score
815,,17910,489.18435934149454,3
1643,,17955,508.1172058034159,3
2471,,18000,544.785628873723,3
3299,,18045,577.9222265834022,3
4127,,18090,613.3346867446127,4
4955,,18135,549.21056813022,4
5783,,18162,556.5038285306684,4
