,female,year,median,score
803,0,1990,51.624086,1
1631,0,1995,54.229299999999995,1
2459,0,2000,52.033636,1
3287,0,2005,83.86614900000001,1
4115,0,2010,58.14895800000001,1
4943,0,2015,17.828592,1
5771,0,2018,18.243664,1
