,female,year,median,score
815,1,1990,80.084312,0
1643,1,1995,82.954231,0
2471,1,2000,86.677216,0
3299,1,2005,89.882782,0
4127,1,2010,90.03096,0
4955,1,2015,86.106804,0
5783,1,2018,86.51432,0
