,female,year,median,score
815,1,1990,25.395267,0
1643,1,1995,26.303194,0
2471,1,2000,26.604576,0
3299,1,2005,26.738541,0
4127,1,2010,27.578487,0
4955,1,2015,26.706982,0
5783,1,2018,26.457647,0
