,female,year,median,score
815,1,1990,41.981503,0
1643,1,1995,43.312088,0
2471,1,2000,43.51189,0
3299,1,2005,45.55386,0
4127,1,2010,48.262791,0
4955,1,2015,47.542912,0
5783,1,2018,48.560432,0
