,female,year,median,score
827,999,1990,42.070984,0
1655,999,1995,43.44767,0
2483,999,2000,43.706444,0
3311,999,2005,45.802109,0
4139,999,2010,48.529686,0
4967,999,2015,47.794235,0
5795,999,2018,48.889793,0
