,female,year,median,score
815,1,1990,56.851777,1
1643,1,1995,55.099464999999995,1
2471,1,2000,59.009692,1
3299,1,2005,63.56146,1
4127,1,2010,68.794929,1
4955,1,2015,15.957905,1
5783,1,2018,16.352524,1
