,female,year,median,score
815,1,1990,105.04036009999999,1
1643,1,1995,109.7949148,1
2471,1,2000,114.29900259999998,1
3299,1,2005,121.4291029,1
4127,1,2010,129.5709161,1
4955,1,2015,119.70639969999999,1
5783,1,2018,121.3287057,1
