index,year,median,emissions
827,1990,73.951759,28.841186009999998
1655,1995,76.698715,29.91249885
2483,2000,80.305771,31.31925069
3311,2005,83.329742,32.49859938
4139,2010,83.711075,32.647319249999995
4967,2015,80.087791,31.234238489999996
5795,2018,80.479057,31.386832229999996
