index,year,median,emissions
815,1990,36.511066,17.087178888
1643,1995,36.166782,16.926053976
2471,2000,34.103905,15.960627539999999
3299,2005,33.126671,15.503282028000001
4127,2010,32.007477,14.979499236
4955,2015,29.643925,13.8733569
5783,2018,29.253603,13.690686204
