index,year,median,emissions
803,1990,15.739122,215.62597140000003
1631,1995,15.633925,214.1847725
2459,2000,16.027227,219.57300990000002
3287,2005,17.013145,233.0800865
4115,2010,17.774359,243.5087183
4943,2015,17.828592,244.2517104
5771,2018,18.243664,249.9381968
