index,year,median,emissions
815,1990,18.555817,12.061281050000002
1643,1995,18.623533,12.105296449999999
2471,2000,18.481447,12.012940549999998
3299,2005,18.461073,11.99969745
4127,2010,18.405481,11.96356265
4955,2015,16.579388,10.776602200000001
5783,2018,16.392599,10.65518935
