index,year,median,emissions
8,1990,37.429325,643.131585142675
9,1995,38.013287,653.165546661433
10,2000,38.76733,666.1219349974701
11,2005,41.817753,718.5360081699272
12,2010,48.42979,832.1477240326101
13,2015,49.2733,846.6413843747
14,2018,50.457821,866.994486343939
15,2020,49.777584,855.306273957456
