index,year,median,emissions
815,1990,38.499886,5.829652738119999
1643,1995,38.770504,5.87062971568
2471,2000,42.768265,6.475970686299999
3299,2005,43.148304,6.53351619168
4127,2010,45.129047,6.833440296739999
4955,2015,47.242653,7.153482517259999
5783,2018,46.174755,6.991781402099999
