index,year,median,emissions
827,1990,34.659847,16.220808396
1655,1995,34.378544,16.089158591999997
2483,2000,32.453239,15.188115852000001
3311,2005,31.501148,14.742537264
4139,2010,30.45709,14.25391812
4967,2015,28.153814,13.175984952
5795,2018,27.813473,13.016705364
