index,year,median,emissions
803,1990,19.693027,56.141472162410004
1631,1995,21.2355,60.538800464999994
2459,2000,22.530704,64.23120688431999
3287,2005,24.691479,70.39120907757001
4115,2010,27.46319,78.2928859477
4943,2015,27.284159,77.78249900197
5771,2018,27.388975,78.08131159925
