index,year,median,emissions
815,1990,25.395267,19.473547850406
1643,1995,26.303194,20.169762616692
2471,2000,26.604576,20.400867759168
3299,2005,26.738541,20.503594532538
4127,2010,27.578487,21.147680244365997
4955,2015,26.706982,20.479394523276
5783,2018,26.457647,20.288199957246
