index,year,median,emissions
815,1990,118.05583,60.2190983247
1643,1995,127.28334,64.9259589006
2471,2000,151.2326,77.142236934
3299,2005,165.07295,84.20206106549999
4127,2010,179.69307,91.6596380763
4955,2015,186.29527,95.02735427429998
5783,2018,189.58147,96.7036120323
