year,emissions
1990,1928.6604214347535
1995,1946.998225895441
2000,2015.3255513393365
2005,2117.6093711469953
2010,2290.1832161265424
2015,2280.8806359948503
2018,2309.4144154474416
2020,865.2818319581731
