year,median,score
1990,0.9395101137254902,1
1995,0.9463448,1
2000,0.970273737254902,1
2005,1.0350411333333334,1
2010,1.1372812980392157,1
2015,1.1497775411764706,1
2018,1.1768935019607842,1
