year,median,score
1990,0.9697820941176472,1
1995,0.9794293745098039,1
2000,1.0050632647058824,1
2005,1.07147158627451,1
2010,1.1734076568627452,1
2015,1.1857241529411764,1
2018,1.2139019333333332,1
