,year,median,score
827,1990,0.35409208785714286,0
1655,1995,0.37761551785714287,0
2483,2000,0.4069863321428572,0
3311,2005,0.43896125500000005,0
4139,2010,0.516839975,0
4967,2015,0.5124652014285714,0
5795,2018,0.5480273371428572,0
